ID,First Name,Last Name,Team,Position,Assists,bonus,Total points,xA,CS,Gc,Goals Scored,minutes,red_cards,starts,xG,xGi,xGc,code,PpG
642,Kaelan,Casey,19,2,0,0,1,0.00,0,0,0,1,0,0,0.00,0.00,0.09,518438,1.0
643,André,Trindade da Costa Neto,20,3,0,0,38,0.24,4,33,0,1491,0,19,0.09,0.33,26.35,509291,1.8
644,Franco,Umeh-Chibueze,7,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,574398,0.0
645,Justin,Devenny,7,3,0,1,21,0.31,0,4,1,308,0,3,0.49,0.80,5.51,489706,1.6
646,Asher,Agbinone,7,3,0,0,2,0.01,0,0,0,4,0,0,0.02,0.03,0.00,579075,1.0
647,Kaden,Rodney,7,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,530318,0.0
648,Ethan,Wheatley,14,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,575034,0.0
649,Jayden,Meghoma,4,2,0,0,1,0.00,0,0,0,4,0,0,0.00,0.00,0.14,499717,1.0
650,Maxence,Lacroix,7,2,2,9,85,0.54,8,27,1,2065,0,23,2.59,3.13,29.35,437499,3.7
651,Orel,Mangala,8,3,0,0,39,0.59,5,10,1,1257,0,14,1.13,1.72,16.64,179519,2.1
652,Manuel,Ugarte,14,3,0,1,29,0.48,2,19,1,1163,0,14,0.43,0.91,20.03,232112,1.5
653,Felipe,Rodrigues da Silva,16,2,0,2,33,0.02,3,6,0,590,0,4,0.10,0.12,7.97,485047,1.8
654,Carlos,Soler,19,3,1,2,36,1.21,2,20,1,1032,0,12,1.21,2.42,22.05,224860,1.7
655,Carlos Roberto,Forbs Borges,20,3,0,0,8,0.10,0,9,0,235,0,1,0.15,0.25,8.04,463212,0.9
656,Kadan,Young,2,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,537403,0.0
657,Maldini,Kacurri,1,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,588793,0.0
658,Ayden,Heaven,14,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,606745,0.0
659,Ismeal,Kabia,1,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,588796,0.0
660,Tony,Yogane,4,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,592662,0.0
661,Vítezslav,Jaros,12,1,0,0,1,0.00,0,0,0,11,0,0,0.00,0.00,0.14,432987,1.0
662,Josh,Nichols,1,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,499167,0.0
663,Imari,Samuels,5,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,447720,0.0
664,Alfie,Pond,20,2,0,0,1,0.00,0,0,0,1,0,0,0.00,0.00,0.00,517179,1.0
665,Nathan,Butler-Oyedeji,1,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,461025,0.0
666,Caleb,Kporha,7,2,0,0,2,0.02,0,1,0,11,0,0,0.00,0.02,0.06,590012,1.0
667,Jack,Fletcher,14,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,547037,0.0
668,Killian,Cahill,5,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,565858,0.0
669,Harvey,Davies,12,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,464353,0.0
670,Harry,Amass,14,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,577974,0.0
671,Jacob,Wright,13,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,516250,0.0
672,Jahmai,Simpson-Pusey,13,2,0,0,1,0.01,0,2,0,95,0,1,0.00,0.01,2.37,554194,0.5
673,Jayce,Fitzgerald,14,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,556639,0.0
674,Paris,Maghoma,4,3,0,0,6,0.03,0,0,0,91,0,0,0.12,0.15,0.91,220695,1.0
675,Zach,Marsh,7,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,576980,0.0
676,Callum,Bates,8,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,547801,0.0
677,Josh,Wilson-Esbrand,13,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,447880,0.0
678,Ollie,Scarles,19,2,0,0,12,0.03,1,3,0,246,0,1,0.09,0.12,4.72,536109,1.5
679,Ben,Broggio,2,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,577731,0.0
680,Max,Kinsey,3,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,496683,0.0
681,Ruairi,McConville,5,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,539721,0.0
682,Callum,Olusesi,18,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,499726,0.0
683,Malachi,Hardy,18,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,611920,0.0
684,Tom,Edozie,20,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,596054,0.0
685,Jacob,Slater,5,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,589100,0.0
686,Ben,Winterburn,3,3,0,0,2,0.00,0,0,0,9,0,0,0.00,0.00,0.00,606775,1.0
687,Ezra,Mayers,19,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,602903,0.0
688,Samuel,Amissah,9,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,591385,0.0
689,Treymaurice,Nyoni,12,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,591386,0.0
690,Luca,Williams-Barnett,18,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,611917,0.0
691,Amara,Nallo,12,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,611926,0.0
692,Godwill,Kukonki,14,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,576637,0.0
693,Joseph,O'Brien-Whitmarsh,17,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,545508,0.0
694,Henry,Cartwright,11,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,531997,0.0
695,Samuel,Rak-Sakyi,6,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,547692,0.0
696,Tyrique,George,6,3,0,0,1,0.00,0,0,0,31,0,0,0.06,0.06,0.86,550615,0.5
697,Josh,Acheampong,6,2,0,0,3,0.01,0,3,0,160,0,2,0.22,0.23,2.09,577016,1.5
698,Divin,Mubama,13,4,0,0,1,0.00,0,0,0,27,0,0,0.04,0.04,0.02,487837,1.0
699,Alfie,Dorrington,18,2,0,0,1,0.00,0,0,0,13,0,0,0.00,0.00,0.04,519321,1.0
700,Maeson,King,18,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,592736,0.0
701,Lewis,Orford,19,3,0,0,2,0.04,0,1,0,47,0,0,0.03,0.07,1.23,518442,1.0
702,Archie,Harris,3,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,632822,0.0
703,Max,Alleyne,13,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,494307,0.0
704,Spike,Brits,13,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,613120,0.0
705,Benjamin,Arthur,4,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,622536,0.0
706,Remy,Rees-Dottin,3,4,0,0,1,0.00,0,0,0,1,0,0,0.00,0.00,0.00,606774,1.0
707,Thomas,Wilson-Brown,11,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,532535,0.0
708,Jayden,Danns,12,4,0,0,1,0.01,0,1,0,10,0,0,0.00,0.01,0.45,500058,1.0
709,Zach,Abbott,16,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,549067,0.0
710,Jamaldeen,Jimoh,2,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,559962,0.0
711,Wes,Okoduwa,20,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,613467,0.0
712,Matai,Akinmboni,3,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,541462,0.0
713,Julio,Soler,3,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,575901,0.0
714,Diego,Gómez,5,3,0,0,4,0.28,0,4,0,85,0,0,0.00,0.28,2.51,514254,1.0
715,Ben,Godfrey,10,2,0,0,-1,0.02,0,7,0,108,0,2,0.00,0.02,3.81,198826,-0.5
716,Welington Damascena,Santos,17,2,0,0,2,0.14,0,4,0,170,0,3,0.01,0.15,3.82,500016,0.7
717,Antonín,Kinsky,18,1,0,0,12,0.01,1,7,0,360,0,4,0.00,0.01,7.02,485055,3.0
718,Min-Hyeok,Yang,18,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,623095,0.0
719,Joachim,Kayi-Sanda,17,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,620408,0.0
720,Emmanuel,Agbadou,20,2,0,0,9,0.03,1,9,0,420,0,5,0.03,0.06,8.37,516939,1.8
721,Wayne,Hennessey,16,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,20066,0.0
722,Daniel,Adu-Adjei,3,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,590760,0.0
723,Dominic,Sadi,3,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,550596,0.0
724,Martin,Sherif,8,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,536241,0.0
725,Donyell,Malen,2,3,0,0,6,0.04,0,3,0,167,0,1,0.77,0.81,1.79,204646,1.2
726,Woyo,Coulibaly,11,2,0,0,1,0.04,0,6,0,107,0,1,0.04,0.08,2.48,488439,0.2
727,Callan,McKenna,3,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,568791,0.0
728,Zain,Silcott-Duberry,3,3,0,0,1,0.00,0,0,0,1,0,0,0.00,0.00,0.04,530121,1.0
729,Damola,Ajayi,18,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,574799,0.0
730,Romain,Esse,7,3,0,2,8,0.00,0,0,1,7,0,0,0.32,0.32,0.29,606921,8.0
731,Andrés,García,2,2,0,0,5,0.21,0,4,0,221,0,3,0.04,0.25,3.74,606798,1.2
732,Abdukodir,Khusanov,13,2,0,0,6,0.01,1,1,0,143,0,2,0.02,0.03,2.17,578153,3.0
733,Vitor,de Oliveira Nunes dos Reis,13,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,616222,0.0
734,Albert,Grønbæk,17,3,0,0,3,0.00,0,1,0,71,0,1,0.12,0.12,2.19,494779,1.5
735,Omar,Marmoush,13,4,0,3,21,0.58,1,4,3,219,0,3,0.88,1.46,2.99,438234,7.0
736,Jack,Porter,1,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,616059,0.0
737,Michael,Kayode,4,2,0,0,3,0.06,0,1,0,21,0,0,0.00,0.06,0.31,607464,1.0
738,Joe,Knight,5,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,567121,0.0
739,Julian,Eyestone,4,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,535017,0.0
740,Elyh,Harrison,14,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,588555,0.0
741,Dante,Cassanova,18,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,501620,0.0
742,Marco,Asensio,2,3,0,3,18,0.14,0,3,2,183,0,2,1.48,1.62,3.80,174292,6.0
743,Eiran,Cashin,5,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,439135,0.0
744,Alex,Palmer,10,1,0,0,4,0.00,0,5,0,180,0,2,0.00,0.00,4.04,112520,2.0
745,Nico,González,13,3,0,0,3,0.04,1,0,0,90,0,1,0.00,0.04,0.48,465694,3.0
746,Patrick,Dorgu,14,2,0,0,2,0.08,0,3,0,180,0,2,0.03,0.11,4.14,596777,1.0
747,Kevin,Danso,18,2,0,0,8,0.05,1,1,0,167,0,2,0.04,0.09,2.37,135720,4.0
748,Mathys,Tel,18,3,0,0,5,0.06,1,1,0,163,0,2,0.72,0.78,2.62,511499,2.5
749,Nasser,Djiga,20,2,0,0,1,0.00,0,0,0,17,0,0,0.00,0.00,0.06,531170,1.0
750,Marshall,Munetsi,20,3,1,0,7,0.02,1,0,0,135,0,1,1.26,1.27,0.62,433312,3.5
751,Mathis,Amougou,6,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,609640,0.0
752,Willian,Borges da Silva,9,3,0,0,2,0.08,0,0,0,11,0,0,0.04,0.12,0.03,47431,1.0
753,Isaac,Heath,8,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,496279,0.0
754,Aaron,Anselmino,6,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,622758,0.0
755,Coby,Ebere,8,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,504296,0.0
756,Chido,Obi-Martin,14,4,0,0,1,0.01,0,0,0,21,0,0,0.00,0.01,0.24,596047,0.5
757,Tyler,Fredricson,14,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,547676,0.0
758,Jack,Moorhouse,14,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,559684,0.0
759,Sékou,Koné,14,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,618873,0.0
760,Iwan,Morgan,4,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,533710,0.0
761,Shumaira,Mheuka,6,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,567119,0.0
762,Ishé,Samuels-Smith,6,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,536238,0.0
763,Hubert,Graczyk,14,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,439483,0.0
