ID,First Name,Last Name,Team,Position,Assists,bonus,Total points,xA,CS,Gc,Goals Scored,minutes,red_cards,starts,xG,xGi,xGc,code,PpG
591,Jean-Clair,Todibo,19,2,0,0,14,0.02,1,10,0,502,0,5,0.10,0.12,6.95,462116,1.8
592,Julián,Araujo Zúñiga,3,2,0,0,8,0.04,0,7,0,352,0,5,0.00,0.04,6.95,436893,1.0
593,Matthijs,de Ligt,14,2,0,3,35,0.03,3,11,1,759,0,8,1.12,1.15,14.66,209365,3.2
594,Noussair,Mazraoui,14,2,1,4,39,0.92,4,10,0,822,0,10,0.22,1.14,15.09,230001,3.5
595,Myles,Lewis-Skelly,1,3,0,0,1,0.00,0,2,0,15,0,0,0.00,0.00,0.80,499169,0.5
596,Lamare,Bogarde,2,2,0,0,2,0.08,0,3,0,168,0,2,0.00,0.08,1.30,515597,1.0
597,Will,Dennis,3,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,444172,0.0
598,Ryan,Trevitt,4,3,0,0,1,0.00,0,0,0,3,0,0,0.00,0.00,0.00,591357,1.0
599,Brajan,Gruda,5,3,0,0,4,0.03,0,2,0,59,0,0,0.00,0.03,1.23,513433,1.0
600,Yasin,Ayari,5,3,0,0,14,0.80,2,6,0,489,0,5,0.61,1.41,9.20,509416,1.6
601,Andrew,Moran,5,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,513834,0.0
602,Harrison,Armstrong,8,3,0,0,1,0.00,0,0,0,1,0,0,0.00,0.00,0.00,609873,1.0
603,Josh,King,9,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,577725,0.0
604,Martial,Godo,9,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,573062,0.0
605,Will,Alves,11,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,532534,0.0
606,Nico,O'Reilly,13,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,472769,0.0
607,João Pedro,Ferreira Silva,16,3,1,0,12,0.40,0,2,0,212,0,0,0.25,0.65,2.95,510500,1.2
608,Tyler,Dibling,17,3,0,3,21,0.62,1,14,1,566,0,6,0.95,1.57,13.94,496661,1.9
609,Will,Lankshear,18,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,552427,0.0
610,Mikey,Moore,18,3,0,0,5,0.03,0,1,0,82,0,1,0.04,0.07,0.94,499721,1.2
611,Sam,Szmodics,10,3,0,2,34,0.13,1,9,3,537,0,7,2.47,2.60,13.76,172453,3.1
612,Wilson,Odobert,18,3,0,0,6,0.08,1,1,0,160,0,2,0.42,0.50,1.63,550839,2.0
613,Toby,Collyer,14,3,0,0,1,0.01,0,1,0,45,0,0,0.00,0.01,1.03,490881,1.0
614,Carl,Rushworth,5,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,472739,0.0
615,Jenson,Metcalfe,8,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,491557,0.0
616,Ben,Nelson,11,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,501770,0.0
617,Francisco Evanilson,de Lima Barbosa,3,4,1,9,45,0.60,4,11,4,706,0,9,3.98,4.58,9.06,444102,4.5
618,Georginio,Rutter,5,3,3,1,40,0.94,3,11,2,603,0,8,1.95,2.89,14.23,463067,4.0
619,Jens,Cajuste,10,3,0,0,7,0.14,0,6,0,269,0,3,0.02,0.16,8.86,454667,1.4
620,Ramón,Sosa,16,3,0,0,12,0.20,0,1,1,93,0,0,0.79,0.99,0.59,502222,1.7
621,João,Félix Sequeira,6,3,0,0,9,0.11,0,0,1,118,0,0,0.47,0.58,1.18,428399,1.8
622,Sander,Berge,9,3,0,0,15,0.25,1,9,0,521,0,5,0.00,0.25,7.87,207189,1.7
623,Mateus Gonçalo,Espanha Fernandes,17,3,1,0,20,0.60,2,13,0,708,0,8,0.67,1.27,16.18,551226,2.0
624,Asmir,Begovic,8,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,40349,0.0
625,Ilkay,Gündogan,13,3,1,0,21,1.22,1,9,0,623,0,7,1.26,2.47,10.53,59859,2.1
626,Roman,Dixon,8,2,0,0,0,0.00,0,4,0,90,0,1,0.00,0.00,2.43,496178,0.0
627,Issa,Kaboré,13,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,476369,0.0
628,Ferdi,Kadioglu,5,2,0,0,19,0.31,2,8,1,385,0,5,0.44,0.75,9.44,231416,3.2
629,Matt,O'Riley,5,3,0,2,8,0.01,0,0,1,33,0,0,0.52,0.53,0.27,219249,8.0
630,Dara,O'Shea,10,2,0,1,14,0.05,1,15,0,692,0,8,0.58,0.63,17.41,216616,1.8
631,Jack,Clarke,10,3,1,0,14,0.37,0,10,0,353,0,3,0.55,0.92,8.94,443261,1.6
632,Chiedozie,Ogbene,10,3,0,0,7,0.05,0,3,0,237,0,3,0.00,0.05,2.36,229164,1.4
633,Mikel,Merino,1,3,0,1,13,0.31,0,5,1,278,0,3,1.02,1.33,3.50,195384,2.6
634,Gustavo,Nunes Fernandes Gomes,4,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,626464,0.0
635,Bilal,El Khannouss,11,3,0,0,8,0.35,0,6,0,197,0,2,0.08,0.43,4.75,513527,1.1
636,Federico,Chiesa,12,3,0,0,1,0.08,0,0,0,18,0,0,0.16,0.24,0.55,223541,1.0
637,Bastien,Meupiyou,20,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,560248,0.0
638,Salah-Eddine,Oulad M'hand,1,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,498046,0.0
639,Tommy,Setford,1,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,551221,0.0
640,Sil,Swinkels,2,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,514287,0.0
641,Oliwier,Zych,2,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,516159,0.0
642,Kaelan,Casey,19,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,518438,0.0
643,André,Trindade da Costa Neto,20,3,0,0,8,0.04,0,11,0,362,0,5,0.07,0.11,8.21,509291,1.1
644,Franco,Umeh-Chibueze,7,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,574398,0.0
645,Justin,Devenny,7,3,0,0,2,0.14,0,1,0,73,0,1,0.11,0.25,1.38,489706,2.0
646,Asher,Agbinone,7,3,0,0,2,0.01,0,0,0,4,0,0,0.02,0.03,0.00,579075,1.0
647,Kaden,Rodney,7,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,530318,0.0
648,Ethan,Wheatley,14,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,575034,0.0
649,Jayden,Meghoma,4,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,499717,0.0
650,Maxence,Lacroix,7,2,1,0,20,0.40,2,10,0,720,0,8,0.30,0.70,10.92,437499,2.5
651,Orel,Mangala,8,3,0,0,13,0.46,1,4,0,453,0,5,0.31,0.77,5.66,179519,1.6
652,Manuel,Ugarte,14,3,0,0,8,0.03,1,3,0,277,0,3,0.01,0.04,4.98,232112,1.3
653,Felipe,Rodrigues da Silva,16,2,0,0,5,0.00,0,0,0,65,0,0,0.00,0.00,1.47,485047,1.0
654,Carlos,Soler,19,3,0,0,5,0.11,0,2,0,263,0,1,0.23,0.34,4.60,224860,0.6
655,Carlos Roberto,Forbs Borges,20,3,0,0,4,0.09,0,7,0,181,0,1,0.11,0.20,4.93,463212,0.8
656,Kadan,Young,2,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,537403,0.0
657,Maldini,Kacurri,1,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,588793,0.0
658,Ayden,Heaven,1,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,606745,0.0
659,Ismeal,Kabia,1,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,588796,0.0
660,Tony,Yogane,4,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,592662,0.0
661,Vítezslav,Jaros,12,1,0,0,1,0.00,0,0,0,11,0,0,0.00,0.00,0.14,432987,1.0
662,Josh,Nichols,1,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,499167,0.0
663,Imari,Samuels,5,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,447720,0.0
664,Alfie,Pond,20,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,517179,0.0
665,Nathan,Butler-Oyedeji,1,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,461025,0.0
666,Caleb,Kporha,7,2,0,0,1,0.02,0,0,0,1,0,0,0.00,0.02,0.00,590012,1.0
667,Jack,Fletcher,14,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,547037,0.0
668,Killian,Cahill,5,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,565858,0.0
669,Harvey,Davies,12,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,464353,0.0
670,Harry,Amass,14,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,577974,0.0
671,Jacob,Wright,13,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,516250,0.0
672,Jahmai,Simpson-Pusey,13,2,0,0,0,0.01,0,2,0,90,0,1,0.00,0.01,2.29,554194,0.0
673,Jayce,Fitzgerald,14,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,556639,0.0
674,Paris,Maghoma,4,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,220695,0.0
675,Zach,Marsh,7,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,576980,0.0
676,Callum,Bates,8,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,547801,0.0
677,Josh,Wilson-Esbrand,13,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,447880,0.0
678,Ollie,Scarles,19,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,536109,0.0
